,text,sentiment,word_count,stop_words,#tag,@,emails,emails_count,text_x_tokenized,text_x_lemmatized
0,last session of the day  ,neutral,6,2,0,0,[],0,"['last', 'session', 'of', 'the', 'day', '']","['last', 'session', 'of', 'the', 'day', '']"
1,shanghai is also really exciting precisely -- skyscrapers galore good tweeps in china  sh  bj,positive,15,2,0,0,[],0,"['shanghai', 'is', 'also', 'really', 'exciting', 'precisely', 'skyscrapers', 'galore', 'good', 'tweeps', 'in', 'china', 'sh', 'bj']","['shanghai', 'is', 'also', 'really', 'exciting', 'precisely', 'skyscraper', 'galore', 'good', 'tweeps', 'in', 'china', 'sh', 'bj']"
2,recession hit veronique branquinho she has to quit her company such a shame,negative,13,6,0,0,[],0,"['recession', 'hit', 'veronique', 'branquinho', 'she', 'has', 'to', 'quit', 'her', 'company', 'such', 'a', 'shame']","['recession', 'hit', 'veronique', 'branquinho', 'she', 'ha', 'to', 'quit', 'her', 'company', 'such', 'a', 'shame']"
3,happy bday,positive,2,0,0,0,[],0,"['happy', 'bday']","['happy', 'bday']"
4, - i like it,positive,5,0,0,0,[],0,"['', 'i', 'like', 'it']","['', 'i', 'like', 'it']"
5,thats great weee visitors,positive,4,0,0,0,[],0,"['thats', 'great', 'weee', 'visitors']","['thats', 'great', 'weee', 'visitor']"
6,i think everyone hates me on here   lol,negative,8,0,0,0,[],0,"['i', 'think', 'everyone', 'hates', 'me', 'on', 'here', 'lol']","['i', 'think', 'everyone', 'hate', 'me', 'on', 'here', 'lol']"
7, soooooo wish i could but im in school and myspace is completely blocked,negative,13,5,0,0,[],0,"['', 'soooooo', 'wish', 'i', 'could', 'but', 'im', 'in', 'school', 'and', 'myspace', 'is', 'completely', 'blocked']","['', 'soooooo', 'wish', 'i', 'could', 'but', 'im', 'in', 'school', 'and', 'myspace', 'is', 'completely', 'blocked']"
8,and within a short time of the last clue all of them,neutral,12,7,0,0,[],0,"['and', 'within', 'a', 'short', 'time', 'of', 'the', 'last', 'clue', 'all', 'of', 'them']","['and', 'within', 'a', 'short', 'time', 'of', 'the', 'last', 'clue', 'all', 'of', 'them']"
9,what did you get  my day is alright havent done anything yet leaving soon to my stepsister though,neutral,18,5,0,0,[],0,"['what', 'did', 'you', 'get', 'my', 'day', 'is', 'alright', 'havent', 'done', 'anything', 'yet', 'leaving', 'soon', 'to', 'my', 'stepsister', 'though']","['what', 'did', 'you', 'get', 'my', 'day', 'is', 'alright', 'havent', 'done', 'anything', 'yet', 'leaving', 'soon', 'to', 'my', 'stepsister', 'though']"
10,my bike was put on holdshould have known that argh total bummer,negative,12,3,0,0,[],0,"['my', 'bike', 'was', 'put', 'on', 'holdshould', 'have', 'known', 'that', 'argh', 'total', 'bummer']","['my', 'bike', 'wa', 'put', 'on', 'holdshould', 'have', 'known', 'that', 'argh', 'total', 'bummer']"
11,i checked  we didnt win,neutral,5,0,0,0,[],0,"['i', 'checked', 'we', 'didnt', 'win']","['i', 'checked', 'we', 'didnt', 'win']"
12, and youre on twitter did the tavern bore you that much,neutral,12,5,0,0,[],0,"['', 'and', 'youre', 'on', 'twitter', 'did', 'the', 'tavern', 'bore', 'you', 'that', 'much']","['', 'and', 'youre', 'on', 'twitter', 'did', 'the', 'tavern', 'bore', 'you', 'that', 'much']"
13,im in va for the weekend my youngest son turns 2 tomorrowit makes me kinda sad he is getting so big check out my twipics,negative,25,10,0,0,[],0,"['im', 'in', 'va', 'for', 'the', 'weekend', 'my', 'youngest', 'son', 'turns', '2', 'tomorrowit', 'makes', 'me', 'kinda', 'sad', 'he', 'is', 'getting', 'so', 'big', 'check', 'out', 'my', 'twipics']","['im', 'in', 'va', 'for', 'the', 'weekend', 'my', 'youngest', 'son', 'turn', '2', 'tomorrowit', 'make', 'me', 'kinda', 'sad', 'he', 'is', 'getting', 'so', 'big', 'check', 'out', 'my', 'twipics']"
14,its coming out the socket  i feel like my phones hole is not a virgin thats how loose it is ,negative,21,8,0,0,[],0,"['its', 'coming', 'out', 'the', 'socket', 'i', 'feel', 'like', 'my', 'phones', 'hole', 'is', 'not', 'a', 'virgin', 'thats', 'how', 'loose', 'it', 'is', '']","['it', 'coming', 'out', 'the', 'socket', 'i', 'feel', 'like', 'my', 'phone', 'hole', 'is', 'not', 'a', 'virgin', 'thats', 'how', 'loose', 'it', 'is', '']"
15,so hot today   dont like it and i hate my new timetable having such a bad week,negative,18,7,0,0,[],0,"['so', 'hot', 'today', 'dont', 'like', 'it', 'and', 'i', 'hate', 'my', 'new', 'timetable', 'having', 'such', 'a', 'bad', 'week']","['so', 'hot', 'today', 'dont', 'like', 'it', 'and', 'i', 'hate', 'my', 'new', 'timetable', 'having', 'such', 'a', 'bad', 'week']"
16,miss you,negative,2,1,0,0,[],0,"['miss', 'you']","['miss', 'you']"
17,cramps   ,negative,4,0,0,0,[],0,"['cramps', '']","['cramp', '']"
